点位基础信息,,,,空间分析信息,,,,,,,,,,,,,,,,,,,,,,,行人行为信息,,,,,,,,,,,,,,,,,,,,,,,,,,
基本字段,,,,空间尺寸,,,功能类型,,,,,,,界面品质,,,,,,,,,环境舒适度,,,,总体,,,,年龄,,,,性别,,,动作,,具体行为,,,,,,,,,,,,,
序号,完整地址,点位功能,立面照片,节点空间长度(m),界面退让距离(m),有效停留空间面积(㎡),功能类型,功能混合度,功能呈现度,人均消费水平(元/人),消费型停留空间占比(%),可承载停留人数(人),界面整体状态,界面开放度,临街互动性,界面连续性,界面连续性照片,视觉丰富度,历史感知度,路面状态,动静混合度,动静混合度照片,遮荫来源,遮荫率(%),声环境舒适度,气味环境,行人样本数,行为集群数,独立人数,集聚人数,幼年人数,青年人数,中年人数,老年人数,男性人数,女性人数,无法判断性别人数,落座人数,站立/倚靠人数,观察人数,光顾人数,等待人数,打卡人数,社交人数,争吵/纠纷人数,饮食人数,休憩人数,避雨/遮阳人数,工作人数,娱乐人数,运动人数,照看人数,整理人数
82,上海市徐汇区天平路街道复兴中路1363弄1号,商店,1787996992785.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,上海市徐汇区天平路街道嘉善路25号,居住,微信图片_20260826203052_65_4.jpg,,,,,,,,,,3,1,2,,,5,5,3,,,,,3,3,10,10,0,10,0,1,0,9,10,0,0,8,2,0,0,0,0,10,0,0,0,0,0,10,0,0,0
84,上海市徐汇区天平路街道嘉善路53号,餐馆,微信图片_20260826203034_57_4.jpg,8,3,20,餐饮/饮品,1,4,30,85,18,3,5,4,,,2,1,3,,,,,3,3,4,3,1,3,0,3,1,0,3,1,0,4,0,0,0,1,0,3,0,0,4,0,0,0,0,0,0
85,上海市徐汇区天平路街道嘉善路60号,餐馆,微信图片_20260826203036_58_4.jpg,6,1.8,42,餐饮/饮品,1,,50,80,22,4,5,4,,,3,2,5,,,,,4,3,4,2,2,2,0,0,1,3,3,1,0,3,1,0,1,0,0,1,0,0,3,0,0,0,0,0,0
86,上海市徐汇区天平路街道嘉善路79号,水果店,微信图片_20260826203037_59_4.jpg,4.5,0,22,零售,1,3,18,45,7,3,5,5,,,2,2,3,,,树木,55,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,上海市徐汇区天平路街道嘉善路79号,零售,微信图片_20260826203039_60_4.jpg,,,,,,,,,,2,5,5,,,1,1,4,,,,,3,3,4,4,0,4,1,2,0,1,2,2,0,4,0,0,0,0,0,4,0,2,3,0,0,0,0,0,0
88,上海市徐汇区天平路街道嘉善路109号,蔬果、零售,75ae0cd5766f84a4b0251c8a3862a7d7.jpg,,,,,,,,,,2,5,5,,,1,2,3,,,,,2,3,2,2,0,2,0,2,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
89,上海市徐汇区天平路街道嘉善路117弄10号,零售,微信图片_20260826203050_64_4.jpg,,,,,,,,,,5,3,4,,,5,5,4,,,,,5,4,2,2,0,2,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0
90,上海市徐汇区天平路街道嘉善路220号,饮品店,微信图片_20260826203055_66_4.jpg,,,,,,,,,,4,4,4,,,5,3,4,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,上海市徐汇区天平路街道嘉善路236弄13号,酒店，住宅,微信图片_20260827145643_50_1.jpg,4,0,6,零售,2,2,10,70,,2,2,4,均为生鲜水产菜场等生活性全开敞店铺,,1,1,3,,,树木；雨棚,80,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,上海市徐汇区天平路街道建国西路258号,商店,微信图片_20260827144343_49_1.jpg,,,,,,,,,,4,3,4,,,4,5,5,,,,,4,4,2,0,2,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0
93,上海市徐汇区天平路街道建国西路285号,商店,微信图片_20260827143410_48_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,上海市徐汇区天平路街道建国西路299号,商店,微信图片_20260827141546_47_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,2,0,2,1,0,2,1,0,0,3,0,0,2,0,0,0,0,3,0,0,0,0,0,0
95,上海市徐汇区天平路街道建国西路320号,商店,微信图片_20260827140741_46_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,上海市徐汇区天平路街道建国西路338号,商店,微信图片_20260827113406_45_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,0,1,1,0,2,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0
97,上海市徐汇区天平路街道建国西路338号,公建,微信图片_20260827113234_44_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,0,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
98,上海市徐汇区天平路街道建国西路368号,商店,微信图片_20260827112233_43_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,上海市黄浦区天平路街道南昌路205弄2号,服装店,IMG_24120.jpg,,,,,,,,,,5,2,5,,,5,3,4,,,,,4,3,19,6,5,14,0,17,0,2,6,13,0,1,18,5,8,0,0,0,0,0,4,0,0,0,0,0,2
100,上海市徐汇区天平路街道陕西南路287弄12号,服装店,IMG_24071.jpg,,,,,,,,,,,,,,,,,,,,,,,,7,2,2,5,0,1,4,2,2,5,0,4,3,0,1,0,0,5,0,0,5,0,0,0,0,0,0
101,上海市徐汇区天平路街道陕西南路570号,商店,微信图片_20260829163021_277_40.jpg,4,0,6,零售,2,2,10,70,,2,4,4,均为生鲜、水产、菜场等生活性全开场店铺,,1,1,3,,,树木；雨棚,80,3,3,4,1,1,3,1,1,1,1,2,1,1,1,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0
102,上海市徐汇区天平路街道太原路8弄,培训机构,IMG_20260830_171409.jpg,,,,,,,,,,3.75,2.5,2.25,,,3,3.75,4.5,,,,,3.75,3.25,2,1,0,2,0,2,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
103,上海市徐汇区天平路街道太原路45弄1号,美容护肤,IMG_20260830_172050.jpg,28,2,20,生活服务,2,3,,20,,5,4,5,,,5,5,5,临街有镜子，有围栏小院落,1788081895721.jpg,树木,50,4,4,10,4,1,9,0,7,2,1,1,9,0,0,10,5,2,0,3,2,0,0,0,0,0,0,0,0,0
104,上海市徐汇区天平路街道太原路76号,商店,,,,,,,,,,,3.5,4,3.5,,,3,3,3.5,,,,,2.5,2.5,12,3,4,8,1,9,1,1,6,6,0,1,11,0,2,0,9,0,0,1,0,0,0,0,0,0,0
105,上海市徐汇区天平路街道太原路126号,商铺,微信图片_20260827175218_4_4.jpg,,,,,,,,,,4,3,1,,,3,3,4,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,上海市徐汇区天平路街道太原路148号,生活服务,IMG_20260830_175115.jpg,,,,,,,,,,5,3,4,,,5,5,5,,,,,4,3,7,1,5,2,0,6,1,0,1,6,0,1,6,2,0,0,3,0,0,0,2,0,0,0,0,1,0
107,上海市徐汇区天平路街道太原路160号,商店,微信图片_20260827180333_6_4.jpg,,,,,,,,,,4,3,5,,,5,4,4,,,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,上海市徐汇区天平路街道太原路167号,餐饮,IMG_20260830_180610.jpg,,,,,,,,,,5,3,3,,,5,5,5,,,,,4,4,10,1,8,2,0,8,0,2,3,7,0,0,10,0,2,6,1,0,0,0,1,0,0,0,0,0,0
109,上海市徐汇区天平路街道太原路192号,商店,微信图片_20260827175332_5_4.jpg,4,0.1,0,零售；其他,1,1,0,0,0,5,2,1,连续性较差，和两侧建筑几乎无关,Image_1788252479677_160.jpg,1,3,5,局部下降，比两侧道路更低,Image_1788252479677_160.jpg,树木,100,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,上海市徐汇区天平路街道太原路236号,商店,微信图片_20260827111102_42_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
111,上海市徐汇区天平路街道桃江路3号,餐饮,IMG_20260829_173746.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,上海市徐汇区天平路街道乌鲁木齐中路308号,商店,IMG_2526.jpg,,,,零售,,,,,,,,,,,,,,,,,,,,2,0,2,0,0,1,1,0,1,1,0,0,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0
113,上海市徐汇区天平路街道襄阳南路4号,住宅,d1 (15).jpg,1.5,0,1.5,其他,1,1,0,0,4,3,3,3,,,4,2,3,,,树木,50,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,上海市徐汇区天平路街道襄阳南路149号,商店,d1 (8).jpg,,,,,,,,,,3.2,3.4,3,,,3,2.4,3.6,,,,,3,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,上海市徐汇区天平路街道襄阳南路164号,商店,d1 (6).jpg,4.5,1,4,餐饮/饮品,1,5,34,85,6,3.4,3.4,3.8,在入口处设置退界，减弱了界面整体连续性，但是也借此生成了室外的停留空间,mmexport1788253029091.jpg,3.4,3.2,3.4,抬升了停留空间，一定程度上区分了店面和街道,vsg_output_1788253070106.jpg,建筑,100,4,4,2,1,0,2,0,0,2,0,1,1,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0
116,上海市徐汇区天平路街道襄阳南路174号,餐饮,d1 (9).jpg,3,0,4,餐饮/饮品,1,5,81,100,8,3.8,3.6,3.2,与两侧建筑相连,vsg_output_1788253258234.jpg,2.8,3.6,2.8,在对外营业的窗口以及入口抬升,vsg_output_1788253287216.jpg,树木,50,3.4,3.2,8,2,1,7,0,0,8,0,2,6,0,0,8,0,7,4,0,0,0,0,1,0,0,0,0,0,0
117,上海市徐汇区天平路街道襄阳南路176号,餐饮,IMG_20260829_164517.jpg,4,0.5,3,餐饮/饮品,1,5,33,100,10,3.83,3.17,3.67,与两侧建筑连续性很好，只在入口与出口做了很小的退界,IMG_20260829_164517.jpg,3.33,3.67,2.67,在入口和出口做了两级踏步抬升,IMG_20260829_164517.jpg,树木；雨棚,80,3.5,3.67,3,1,1,2,0,3,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
118,上海市徐汇区天平路街道襄阳南路215号,餐饮,1787998936510.jpg,3.5,0,20,餐饮/饮品,1,5,109,60,30,3.2,3.2,3,与左侧的店面有极好的连续性，包括装修风格、店面大小都基本一致,Image_1788254423307_739.jpg,2.6,3,3.4,做了一级踏步抬升,Image_1788254423307_739.jpg,树木；其他,90,3.8,3.2,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
119,上海市徐汇区天平路街道襄阳南路218号,公共建筑,微信图片_20260825184351_20_1153.jpg,,,,,,,,,,3.2,2.4,2.4,,,3,3.4,3.4,,,,,3.2,3.2,2,2,0,2,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
120,上海市徐汇区天平路街道襄阳南路226号,餐饮,1787998056953.jpg,7,4,30,餐饮/饮品,1,5,125,100,30,4,3,4,连续性很差，与两侧建筑割裂，做了巨大的退界成为沿街用餐和等候区域,Image_1788254122882_931.jpg,3,3,5,为划定区域采用了符合店面风格的铺地,Image_1788254122882_931.jpg,雨棚,100,4,4,6,6,0,6,0,6,0,0,2,4,0,6,0,0,0,1,0,6,0,5,0,0,0,0,0,0,0
121,上海市徐汇区天平路街道襄阳南路267号,冰激凌店,d1 (12).jpg,4,0,1.5,餐饮/饮品,1,5,43,100,3,4,4,4,与两侧建筑有较好连续性,Image_1788255636950_512.jpg,5,5,5,无特殊处理,Image_1788255636950_512.jpg,树木,70,3,3,4,1,0,4,1,3,0,0,3,1,0,4,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0
122,上海市徐汇区天平路街道襄阳南路271号,商店,d1 (13).jpg,,,,,,,,,,4,4,4,,,1,2,5,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,上海市徐汇区天平路街道襄阳南路282号,餐饮,d1 (10).jpg,4,1,4,餐饮/饮品；零售,1,5,81,100,4,3,2,4,与两侧有较好连续性，但为了设置室外用餐区做了退界,Image_1788255406997_380.jpg,3,2,5,在室外用餐区做了铺地区分店面和街道,Image_1788255406997_380.jpg,建筑,100,3,3,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
124,上海市徐汇区天平路街道襄阳南路284号,餐饮,d1 (14).jpg,10,0.5,2,餐饮/饮品,1,5,125,50,4,3.5,2.83,3.5,与两侧有较好连续性,Image_1788256001699_144.jpg,3.67,3.17,2.83,无特殊处理,vsg_output_1788256023005.jpg,树木,50,3.5,3.17,12,3,2,10,0,12,0,0,4,8,0,3,9,2,0,0,6,3,0,0,4,0,0,0,0,0,0
125,上海市徐汇区天平路街道襄阳南路328号,水果店,IMG_20260901_165506.jpg,,,,,,,,,,,,,,,,,,,,,,,,7,2,3,4,0,0,5,2,4,3,0,0,7,2,3,0,0,0,0,0,1,0,0,0,0,1,0
126,上海市徐汇区天平路街道襄阳南路338号,餐饮,d1 (16).jpg,,,,,,,,,,3.8,3.6,3.4,,,3.6,3.6,3.6,,,,,4.6,4.6,5,4,1,4,0,4,0,1,1,4,0,5,0,0,0,1,0,3,0,0,4,0,0,0,0,0,0
127,上海市徐汇区天平路街道襄阳南路344号,商店,d1 (17).jpg,,,,,,,,,,3,3.6,3.4,,,3,3,3.6,,,,,3,3.2,3,3,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
128,上海市徐汇区天平路街道襄阳南路365号,商店,_cgi-bin_mmwebwx-bin_webwxgetmsgimg__&MsgID=6369498847762401200&skey=@crypt_1b507d4e_7ba62e36d1c0c28df1737a107d7e5aca&mmweb_appid=wx_webfilehelper.jpg,,,,,,,,,,3,3,3.4,,,2.6,2.8,3.6,,,,,3.4,3.4,3,0,3,0,0,0,1,2,2,1,0,2,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0
129,上海市徐汇区天平路街道襄阳南路370号,商店,d1 (20).jpg,,,,,,,,,,3.4,3.4,3,,,3.8,3.8,3.6,,,,,3.2,3.4,2,1,0,2,0,0,0,2,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
130,上海市徐汇区天平路街道襄阳南路391号,餐饮,d1 (21).jpg,,,,餐饮/饮品,1,3,,,,3.8,3.6,3.4,,IMG_20260901_171615.jpg,3.6,3.8,3.4,,IMG_20260901_171622.jpg,,,3.8,3.6,12,3,4,8,0,6,3,3,10,2,0,6,6,1,0,1,0,5,0,0,5,0,3,0,1,0,0
131,上海市徐汇区天平路街道襄阳南路414号,餐饮,d1 (22).jpg,,,,,,,,,,3.75,3,3.25,,,3.25,3.75,4.25,,,,,3.5,3.25,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
132,上海市徐汇区天平路街道永嘉路261号,商店,_cgi-bin_mmwebwx-bin_webwxgetmsgimg__&MsgID=6369498847762401200&skey=@crypt_1b507d4e_7ba62e36d1c0c28df1737a107d7e5aca&mmweb_appid=wx_webfilehelper.jpg,,,,,,,,,,3,4,4,,,3,3,5,,,,,4,3,2,2,0,2,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
133,上海市徐汇区天平路街道永嘉路319号,餐馆,_cgi-bin_mmwebwx-bin_webwxgetmsgimg__&MsgID=1568318915786806172&skey=@crypt_1b507d4e_7ba62e36d1c0c28df1737a107d7e5aca&mmweb_appid=wx_webfilehelper.jpg,,,,,,,,,,3,2,3,,,3,3,5,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,上海市徐汇区天平路街道永嘉路331号,商店,_cgi-bin_mmwebwx-bin_webwxgetmsgimg__&MsgID=3869399246531619998&skey=@crypt_1b507d4e_7ba62e36d1c0c28df1737a107d7e5aca&mmweb_appid=wx_webfilehelper.jpg,,,,,,,,,,4,4,4,,,5,4,5,,,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,上海市徐汇区天平路街道永嘉路333号,商店,微信图片_20260827150828_51_1.jpg,,,,,,,,,,3,4,4,,,5,4,5,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,上海市徐汇区天平路街道永嘉路354号,公共建筑,微信图片_20260825184348_16_1153.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,上海市徐汇区天平路街道永嘉路354号,餐厅,微信图片_20260825184346_14_1153.jpg,,,,,,,,,,5,3,3,,,4,5,5,,,,,4,4,2,0,2,0,0,0,2,0,1,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
138,上海市徐汇区天平路街道永嘉路425号,公共建筑,微信图片_20260825184349_18_1153.jpg,,,,,,,,,,5,1,2,,,4,5,5,,,,,5,4,2,1,0,2,0,2,0,0,1,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
139,上海市徐汇区天平路街道永康路43号,餐厅,微信图片_20260825184345_13_1153.jpg,15,0.5,10,餐饮/饮品；文化展示,2,5,41,80,10,4,4,5,与两侧建筑连续性很好,IMG_20260825_114013.jpg,5,4,5,做了很小的一级踏步抬升,IMG_20260825_114013.jpg,建筑,50,4,4,8,0,8,0,0,8,0,0,1,7,0,0,8,0,4,0,8,0,0,0,0,0,0,0,0,0,0
140,上海市徐汇区天平路街道永康路46号,餐厅,微信图片_20260825184344_12_1153.jpg,7.5,0,5,餐饮/饮品；零售,1,5,100,100,6,5,4,5,与两侧建筑连续性很好,IMG_20260825_114026.jpg,5,3,5,做了很小的一级踏步抬升,IMG_20260825_114026.jpg,雨棚,100,4,4,5,2,3,2,1,4,0,0,1,4,0,1,4,0,0,2,0,0,0,3,1,0,0,0,0,0,0
141,上海市徐汇区天平路街道永康路51号,冰激凌店,微信图片_20260827155649_19984_1.jpg,3.5,0.5,2,餐饮/饮品,2,5,38,50,4,4,4,5,与两侧建筑连续性很好,vsg_output_1788254763134.jpg,5,4,5,无特殊处理,mmexport1788254770988.jpg,建筑,50,4,4,4,3,1,3,0,3,1,0,3,1,0,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0
142,上海市徐汇区天平路街道永康路85号,餐馆,IMG_20260901_163932.jpg,,,,,,,,,,,,,,,,,,,,,,,,5,2,0,5,0,4,1,0,2,3,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
143,上海市徐汇区天平路街道永康路177号,住宅,微信图片_20260827151648_52_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
